id,Texture Name,Link,Average Hex Color Value,Average RGB Color Value
33,"a_kabe_4_TxT","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_kabe_4_TxT.png","#717d8b","rgb(113,125,139)"
34,"akari_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fakari_txt.png","#ffd259","rgb(255,210,89)"
35,"a_kopa_00_TxT","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_kopa_00_TxT.png","#ddbba3","rgb(221,187,163)"
36,"a_kopa_01_TxT","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_kopa_01_TxT.png","#daa07c","rgb(218,160,124)"
37,"a_kopa_02_TxT","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_kopa_02_TxT.png","#dfb49a","rgb(223,180,154)"
38,"a_kopa_03_TxT","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_kopa_03_TxT.png","#896441","rgb(137,100,65)"
39,"a_kopa_04_TxT","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_kopa_04_TxT.png","#8a613f","rgb(138,97,63)"
40,"a_kopa_05_TxT","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_kopa_05_TxT.png","#e97330","rgb(233,115,48)"
41,"a_kopa_06_TxT","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_kopa_06_TxT.png","#e68e5c","rgb(230,142,92)"
42,"a_kopa_07_TxT","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_kopa_07_TxT.png","#bd794b","rgb(189,121,75)"
43,"a_kopa_08_TxT","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_kopa_08_TxT.png","#b86f42","rgb(184,111,66)"
44,"a_kopa_09_TxT","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_kopa_09_TxT.png","#b86f42","rgb(184,111,66)"
45,"a_kopa_10_TxT","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_kopa_10_TxT.png","#ff7325","rgb(255,115,37)"
46,"a_kopa_11_TxT","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_kopa_11_TxT.png","#d05a1b","rgb(208,90,27)"
47,"a_kopa_12_TxT","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_kopa_12_TxT.png","#ea6215","rgb(234,98,21)"
48,"a_kopa_13_TxT","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_kopa_13_TxT.png","#fc5c05","rgb(252,92,5)"
49,"aK_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2FaK_txt.png","#423108","rgb(66,49,8)"
50,"all_ball_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fall_ball_txt.png","#a1aca9","rgb(161,172,169)"
51,"allmap0_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fallmap0_txt.png","#616057","rgb(97,96,87)"
52,"allmap1_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fallmap1_txt.png","#606057","rgb(96,96,87)"
53,"aL_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2FaL_txt.png","#8318ff","rgb(131,24,255)"
54,"amiami_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Famiami_txt.png","#580e19","rgb(88,14,25)"
